epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4656.6,0.67441,0.50207,1.01831,0.9373,0.76631,0.84319,0.56819,1.06861,0.54197,1.24389,0.007459,0.007459,0.007459
79,4843.6,0.67596,0.49689,1.01573,0.94428,0.78919,0.84411,0.5772,1.04811,0.50069,1.23646,0.007426,0.007426,0.007426
80,5029.05,0.67505,0.49808,1.01936,0.93346,0.77073,0.84308,0.56101,1.12732,0.52974,1.26368,0.007393,0.007393,0.007393
81,5213.57,0.66234,0.49241,1.01227,0.9387,0.78042,0.8398,0.56073,1.14246,0.54898,1.27754,0.00736,0.00736,0.00736
82,5271.42,0.67118,0.49054,1.01286,0.93364,0.77624,0.83869,0.55796,1.13307,0.54663,1.29421,0.007327,0.007327,0.007327
83,5319.95,0.6652,0.48856,1.01488,0.94914,0.77194,0.83998,0.55721,1.15032,0.5394,1.31025,0.007294,0.007294,0.007294
84,5368.35,0.66417,0.49558,1.01209,0.94882,0.7701,0.83772,0.54915,1.13629,0.53985,1.30586,0.007261,0.007261,0.007261
85,5416.85,0.65422,0.4802,1.01082,0.94469,0.78272,0.83912,0.57487,1.08387,0.50562,1.23915,0.007228,0.007228,0.007228
86,5465.35,0.65774,0.47954,1.01139,0.92532,0.78559,0.83971,0.53861,1.18493,0.53201,1.2939,0.007195,0.007195,0.007195
87,5513.6,0.66067,0.48511,1.00137,0.93504,0.76613,0.83288,0.55627,1.11099,0.53403,1.21776,0.007162,0.007162,0.007162
88,5562.07,0.65222,0.47807,1.00238,0.91658,0.79001,0.83899,0.56066,1.09829,0.51614,1.25622,0.007129,0.007129,0.007129
89,5610.47,0.64462,0.47523,1.00508,0.92945,0.78058,0.83839,0.57259,1.04273,0.52261,1.23327,0.007096,0.007096,0.007096
90,5658.77,0.64303,0.46673,1.00227,0.94832,0.76007,0.83686,0.57379,1.08451,0.51559,1.2372,0.007063,0.007063,0.007063
91,5706.86,0.6517,0.47475,1.00791,0.94514,0.78193,0.84635,0.58564,1.04587,0.51784,1.2144,0.00703,0.00703,0.00703
92,5755.41,0.64497,0.47078,1.00376,0.93649,0.79105,0.85204,0.58169,1.07944,0.51189,1.24407,0.006997,0.006997,0.006997
93,5803.87,0.64166,0.46339,1.0005,0.95815,0.77709,0.85123,0.57912,1.09427,0.49483,1.26362,0.006964,0.006964,0.006964
94,5853.23,0.63362,0.46203,0.99859,0.92963,0.79017,0.84804,0.58894,1.0641,0.50166,1.22286,0.006931,0.006931,0.006931
95,5901.86,0.63237,0.4592,0.9873,0.95212,0.77918,0.84737,0.5724,1.08279,0.51683,1.22141,0.006898,0.006898,0.006898
96,5950.27,0.63645,0.46636,0.99536,0.91706,0.78954,0.8443,0.57996,1.06358,0.53249,1.2376,0.006865,0.006865,0.006865
